Recency,Frequency,Monetary,churn
366,1,308.28000000000003,1
372,1,754.87,1
90,1,378.64,0
61,3,3312.25,0
89,1,778.65,0
99,3,1019.76,1
26,3,572.56,0
32,6,3639.31,0
281,1,222.99,1
31,7,4151.93,0
330,1,534.57,1
131,2,677.1,1
11,3,797.96,0
75,1,544.08,0
204,1,59.8,1
2,8,2520.02,0
185,1,307.72,1
29,2,1360.99,0
73,5,1544.13,0
192,1,457.34000000000003,1
127,2,621.23,1
18,1,75.0,0
1,2,252.49,0
74,3,572.451,0
2,62,28117.04,0
24,5,1003.06,0
107,1,213.55,1
134,3,1390.5,1
44,2,712.5,0
5,2,640.83,0
12,18,6127.43,0
64,1,221.06,0
150,2,159.85,1
40,2,1833.71,0
64,1,2626.3,0
108,3,1624.21,1
1,10,3641.32,0
19,3,582.6,0
10,1,201.78,0
11,4,1006.8,0
19,2,679.45,0
67,2,1269.1,0
74,2,534.24,0
5,7,3809.89,0
2,1,196.89,0
14,7,3408.06,0
255,1,283.71,1
92,1,296.64,1
23,3,1129.14,0
17,6,3534.69,0
24,1,291.88,0
27,6,2043.72,0
26,5,2898.2599999999998,0
259,2,590.0,1
166,2,356.98,1
25,2,1058.34,0
18,6,1766.72,0
7,14,9646.57,0
29,2,183.44,0
39,3,1445.0,0
253,1,151.5,1
58,1,674.68,0
184,1,307.90000000000003,1
11,2,1071.91,0
2,37,5704.97,0
99,2,165.0,1
1,4,2501.84,0
61,2,422.64,0
236,1,226.84,1
191,4,1431.78,1
179,2,1238.47,1
38,6,1454.58,0
201,2,300.95,1
46,5,1804.56,0
232,1,184.64000000000001,1
66,1,140.34,0
241,1,313.8,1
233,1,454.24,1
78,3,1122.41,0
58,3,575.4,0
17,13,8968.31,0
105,4,449.52,1
52,10,1215.82,0
136,3,1269.84,1
275,2,618.63,1
312,1,316.26000000000005,1
8,5,2044.8700000000001,0
11,2,653.33,0
283,2,348.05,1
18,5,1159.1100000000001,0
23,3,1166.77,0
288,1,1340.32,1
17,3,292.0,0
71,1,216.85,0
64,1,295.93,0
73,4,4393.63,0
316,2,458.52,1
3,4,2479.16,0
244,1,110.97,1
9,7,979.72,0
1,4,1791.56,0
261,1,251.21,1
127,1,205.1,1
74,1,152.20000000000002,0
73,4,891.12,0
21,3,1389.41,0
60,3,2128.42,0
86,1,627.16,0
78,1,122.75,0
59,6,3624.35,0
1,3,1071.73,0
30,1,125.80000000000001,0
33,5,3964.88,0
41,5,680.1800000000001,0
15,2,628.78,0
34,7,2242.36,0
79,2,307.76,0
205,2,483.8,1
34,1,210.31,0
183,3,269.09,1
2,25,5870.08,0
1,7,3444.39,0
43,7,1280.85,0
86,3,631.34,0
40,2,276.06,0
12,3,621.09,0
96,2,678.16,1
26,7,918.2,0
319,1,91.80000000000001,1
66,12,3740.07,0
74,4,4098.88,0
28,2,584.0600000000001,0
6,4,594.52,0
7,1,171.42000000000002,0
216,1,141.85999999999999,1
82,3,1799.3300000000002,0
84,2,777.53,0
144,3,1724.67,1
19,2,240.22,0
41,2,856.84,0
173,1,187.05,1
17,2,338.62,0
243,1,239.49,1
13,12,2088.94,0
206,1,1384.25,1
50,2,290.25,0
23,5,732.07,0
10,18,6717.34,0
25,4,1687.6000000000001,0
15,2,467.04,0
309,1,118.0,1
156,1,781.03,1
307,1,142.4,1
64,1,712.4,0
16,9,2478.95,0
15,2,379.65,0
11,6,1981.92,0
65,3,1117.13,0
36,4,247.95999999999998,0
108,5,2011.88,1
53,1,396.97,0
6,2,664.11,0
47,1,160.04,0
1,21,5149.92,0
312,1,219.52,1
45,2,693.32,0
65,1,428.89,0
26,1,164.34,0
29,3,276.75,0
40,1,675.51,0
12,7,1082.33,0
89,3,1154.4,0
24,4,1585.46,0
319,1,417.69,1
40,3,544.18,0
174,1,177.34,1
117,1,213.85,1
31,5,727.74,0
253,1,257.23,1
59,5,1638.47,0
23,11,7792.36,0
5,7,2031.78,0
100,11,3070.42,1
25,5,2118.93,0
33,5,1547.3600000000001,0
68,1,1071.03,0
37,5,949.12,0
52,3,804.3,0
16,1,122.64,0
74,1,1033.34,0
216,1,312.28,1
31,3,519.44,0
16,4,2624.26,0
120,1,252.1,1
10,4,1648.1200000000001,0
257,2,346.6,1
17,6,1836.3400000000001,0
35,2,94.2,0
46,3,1095.08,0
43,6,2707.33,0
114,2,932.97,1
165,2,379.65,1
11,2,382.14,0
10,5,2639.17,0
206,2,1563.0,1
86,3,881.26,0
179,1,189.47,1
60,3,84.65,0
149,1,299.05,1
3,21,6309.83,0
51,2,218.55,0
75,1,349.7,0
301,2,186.39000000000001,1
19,2,387.44,0
151,2,486.82000000000005,1
152,1,232.6,1
1,4,3719.12,0
18,4,827.83,0
187,1,59.5,1
286,1,65.13,1
3,7,3119.44,0
183,1,72.0,1
63,1,910.0,0
59,1,172.25,0
25,3,1488.32,0
4,50,65039.62,0
31,15,2504.13,0
39,1,151.3,0
155,1,308.58000000000004,1
26,10,2248.63,0
318,1,99.5,1
5,9,2308.06,0
8,3,711.86,0
303,1,330.79,1
267,2,806.41,1
271,1,285.33,1
4,13,6307.650000000001,0
32,1,180.48,0
219,2,252.06,1
247,1,228.84,1
281,5,1077.39,1
269,1,138.28,1
32,6,1445.01,0
246,2,306.55,1
15,5,1041.68,0
117,4,799.9,1
36,1,524.14,0
132,3,2375.41,1
217,1,199.85000000000002,1
50,8,1980.56,0
39,2,1079.66,0
29,2,333.48,0
37,6,1016.14,0
136,2,752.6,1
219,2,610.59,1
28,1,491.86,0
25,4,2883.54,0
5,2,729.8,0
200,1,339.6,1
18,1,216.9,0
241,1,350.75,1
72,3,668.4300000000001,0
17,12,3107.87,0
3,7,1341.6,0
95,2,1080.52,1
162,1,300.04,1
374,1,79.6,1
96,5,948.25,1
54,5,1647.26,0
288,1,296.25,1
124,6,1175.38,1
288,1,741.26,1
152,2,282.6,1
4,9,2108.06,0
2,14,5189.52,0
12,7,3190.55,0
33,2,659.4100000000001,0
54,2,286.79,0
50,2,1070.65,0
219,1,306.72,1
63,1,1714.96,0
71,3,1519.42,0
2,37,17220.36,0
2,10,2796.51,0
64,4,2634.45,0
34,3,1122.63,0
82,1,345.0,0
1,33,25977.16,0
103,1,178.7,1
7,2,360.01,0
251,1,127.84,1
13,6,908.86,0
10,11,2462.79,0
367,1,230.4,1
76,2,309.04,0
4,1,348.79999999999995,0
128,2,1516.0,1
66,2,195.55,0
1,57,37153.85,0
117,2,688.86,1
310,1,558.32,1
67,1,324.8,0
139,3,4599.42,1
255,1,277.07,1
31,7,2588.39,0
52,2,924.5999999999999,0
64,1,256.38,0
367,1,112.6,1
6,5,1747.66,0
305,1,155.05,1
29,3,1499.01,0
184,3,814.5,1
42,3,539.0,0
40,4,1366.8600000000001,0
92,2,1579.12,1
22,4,4027.36,0
24,2,571.6700000000001,0
29,2,382.98,0
302,3,1140.35,1
145,2,385.64,1
6,2,632.0,0
19,2,957.66,0
33,5,1698.94,0
176,1,189.5,1
58,3,409.8,0
22,1,209.49,0
16,6,2198.45,0
19,1,52.2,0
159,1,383.85,1
25,4,834.57,0
212,2,266.59000000000003,1
6,4,674.82,0
253,1,85.0,1
59,9,3385.62,0
11,1,361.62,0
65,1,312.98,0
25,3,865.0600000000001,0
92,3,1255.0,1
52,2,1537.95,0
129,1,1595.48,1
96,3,2651.46,1
57,1,1090.1399999999999,0
9,25,8109.5199999999995,0
169,3,388.5,1
57,1,216.17000000000002,0
326,1,201.16,1
1,5,1245.9,0
18,8,2209.36,0
248,1,305.78,1
58,4,501.56,0
74,1,145.67,0
31,3,1005.09,0
7,2,3192.54,0
123,4,3083.65,1
2,8,2770.94,0
23,13,6403.25,0
120,3,389.6,1
358,1,540.45,1
54,5,1786.79,0
64,1,122.7,0
86,1,117.24,0
55,1,1271.57,0
21,13,3219.77,0
4,20,17159.52,0
3,5,1191.13,0
11,5,2674.48,0
7,5,787.6,0
189,2,506.8,1
71,1,243.56,0
204,1,349.55,1
120,2,595.67,1
93,1,416.90000000000003,1
1,10,1883.81,0
27,4,632.97,0
298,1,821.1,1
24,3,564.62,0
28,4,2593.07,0
50,1,311.16,0
326,1,155.93,1
16,2,388.52,0
183,3,740.95,1
72,5,2867.2000000000003,0
37,2,332.64,0
80,4,2369.55,0
57,9,2580.91,0
12,2,626.45,0
50,2,272.04,0
50,2,1212.8400000000001,0
59,2,384.81,0
352,1,172.25,1
54,1,351.13,0
2,6,1838.8500000000001,0
93,4,678.25,1
23,1,223.85000000000002,0
75,1,348.99,0
11,4,464.57,0
169,2,842.65,1
58,2,337.34,0
96,2,1237.53,1
295,1,307.4,1
109,2,608.79,1
264,1,922.1,1
180,1,376.58,1
169,1,158.85,1
35,1,71.66,0
23,3,568.55,0
17,4,839.14,0
22,5,5112.96,0
79,3,561.57,0
65,1,90.60000000000001,0
361,1,102.0,1
3,6,2427.32,0
11,4,745.0600000000001,0
176,3,674.45,1
218,2,3251.071,1
7,7,3515.68,0
2,2,439.92,0
154,2,322.96,1
5,5,1019.27,0
79,3,594.04,0
21,2,230.22,0
22,2,169.54999999999998,0
308,4,664.54,1
146,1,80.7,1
7,18,9024.17,0
19,8,2758.26,0
71,2,190.25,0
287,1,264.7,1
49,1,413.59000000000003,0
31,6,2461.2400000000002,0
207,1,357.98,1
15,2,196.79,0
73,1,869.87,0
60,1,200.14,0
39,4,1871.81,0
30,12,2603.43,0
27,5,920.51,0
4,15,7060.13,0
17,1,320.46,0
20,6,4147.96,0
66,2,1266.08,0
213,1,311.3,1
12,6,852.88,0
30,1,76.8,0
43,9,3466.36,0
4,6,2274.14,0
15,5,1393.69,0
10,12,3901.81,0
211,1,635.66,1
46,3,2043.0800000000002,0
134,2,529.73,1
43,7,4582.64,0
10,5,2874.72,0
116,3,962.19,1
198,2,695.61,1
278,1,328.8,1
110,3,473.02,1
77,1,505.18,0
53,1,917.34,0
162,4,4341.21,1
47,3,1421.6100000000001,0
17,2,642.8,0
155,3,631.9,1
225,1,440.0,1
7,2,584.07,0
122,2,327.7,1
61,1,104.82,0
63,2,467.66,0
18,8,2358.84,0
7,19,17286.86,0
2,11,2975.59,0
22,3,648.89,0
29,5,1428.02,0
285,1,626.65,1
176,2,147.20000000000002,1
78,3,1560.38,0
33,1,152.2,0
41,12,3560.32,0
266,1,141.41,1
27,4,646.42,0
109,4,1659.75,1
284,1,154.99,1
9,5,1308.6100000000001,0
305,1,409.93,1
17,4,5578.72,0
32,2,746.36,0
1,23,15610.390000000001,0
20,1,225.35999999999999,0
124,2,260.25,1
65,1,92.46000000000001,0
106,1,725.6400000000001,1
1,23,8152.71,0
24,17,6211.66,0
267,1,183.6,1
5,19,6140.42,0
10,12,10464.85,0
29,5,1334.34,0
267,1,152.55,1
64,2,374.7,0
320,1,265.85,1
4,8,1437.57,0
32,1,151.04,0
5,3,942.26,0
129,1,118.67,1
41,5,499.42,0
102,6,1049.37,1
125,1,375.1,1
33,1,45.599999999999994,0
302,2,921.62,1
